subset_size,train_time_sec,memory_before_mb,memory_after_mb,train_accuracy,eval_accuracy
1,0.86,2014.13,2005.75,0.5706,0.508
5,1.84,2005.75,2005.23,0.621,0.6032
10,3.09,2005.23,2008.26,0.7435,0.7007
15,4.73,2008.26,2007.85,0.8058,0.7557
25,7.62,2007.85,2008.39,0.8366,0.7638
50,14.59,2008.39,2008.4,0.8696,0.7901
100,27.16,2008.4,2008.41,0.8963,0.8154
