subset_size,train_time_sec,memory_before_mb,memory_after_mb,train_accuracy,eval_accuracy
1,3.03,1485.36,1944.33,0.5958,0.5161
5,11.53,1945.49,1945.25,0.842,0.7523
10,14.11,1946.0,1946.04,0.9008,0.7729
15,19.97,1946.04,1946.28,0.9104,0.7833
25,37.42,1970.73,1972.31,0.9227,0.8005
50,68.49,1972.31,1973.07,0.9474,0.8211
100,138.05,1973.07,1974.11,0.9588,0.8477


